token	segmentation	root
abad	abad	abad
abadi	abadi	abadi
adanya	ada nya	ada
adaptif	adaptif	adaptif
Adegan	Adegan	Adegan
adegan-adegan	adegan - adegan	adegan
adrenalin	adrenalin	adrenalin
agak	agak	agak
Agaknya	Agak nya	Agak
Agama	Agama	Agama
agar	agar	agar
Agustus	Agustus	Agustus
Ahli	Ahli	Ahli
airnya	air nya	air
ajari	ajar i	ajar 
Akhirnya	Akhir nya	Akhir
akibat	akibat	akibat
akses	akses	akses
Aktif	Aktif	Aktif
aktivitasnya	aktivitas nya	aktivitas
aktor-aktor	aktor - aktor	aktor 
akuntabilitas	akunt abilitas	akunt
akuratan	akurat an	akurat
Alam	Alam	Alam
alangkah	alangkah	alangkah
alasan	alas an	alas
alat	alat	alat
aliran	alir an	alir
alun	alun	alun
alur	alur	alur
aman	aman	aman
Amaran	Amar an	Amar
amati	amat i	amat
ambruk	ambruk	ambruk
Anak	Anak	Anak
anaknya	anak nya	anak
analisis	analis is	analis
Anda	Anda	Anda
andai	andai	andai
andal	andal	andal
anggota	anggota	anggota
Angin	Angin	Angin
Angka	Angka	Angka
angkasa	angkasa	angkasa
angkat	angkat	angkat
Anonim	Anonim	Anonim
antar	antar	antar
ANTARA	ANTAR A	ANTARA
antaranya	antara nya	antara
antinyamuk	anti nyamuk	nyamuk
antisipasi	anti sipasi	sipasi
Antrean	Antre an	Antre
Apa	Apa	Apa
apabila	apa bila	bila
Apakah	Apa kah	Apa
apalagi	apa lagi	apa
api	api	api
apik	apik	apik
Aral	Aral	Aral
Arbitrase	Arbitrase	Arbitrase
areal	areal	areal
areanya	area nya	area
Artinya	Arti nya	Arti
Arus	Arus	Arus
asal	asal	asal
asap	asap	asap
aspek	aspek	aspek
Asri	Asri	Asri
Atas	Atas	Atas
atom	atom	atom
awak	awak	awak
awalannya	awalan nya	awalan
awalnya	awal nya	awal
Awan	Awan	Awan
AYO	AYO	AYO
BACA	BACA	BACA
Badai	Badai	Badai
badan	badan	badan
Bagaimana	Bagaimana	Bagaimana
Bagi	Bagi	Bagi
bagian	bagian	bagian
bagian-bagian	bagian - bagian	bagian
Baginya	Bagi nya	Bagi
bagunan	bagun an	bagun
bagus	bagus	bagus
Bahan	Bahan	Bahan
Bahana	Bahana	Bahana
BAHASA	BAHASA	BAHASA
bahaya	bahaya	bahaya
Bahkan	Bahkan	Bahkan
bahwa	bahwa	bahwa
baiknya	baik nya	baik
baku	baku	baku
balik	balik	balik
Bambu	Bambu	Bambu
ban	ban	ban
bandang	bandang	bandang
bangkit	bangkit	bangkit
bangsa	bangsa	bangsa
bangsa-bangsa	bangsa - bangsa	bangsa
bangun	bangun	bangun
bangunan	bangun an	bangun
bangunan-bangunan	bangun an - bangun an	bangun
Banjir	Banjir	Banjir
banjir-longsor	banjir - longsor	banjir - longsor
Bank	Bank	Bank
bantaran	bantar an	bantar
Bantu	Bantu	Bantu
Bantuan	Bantu an	Bantu
banyak	banyak	banyak
banyaknya	banyak nya	banyak
bapak	bapak	bapak
barisan	baris an	baris
Baru	Baru	Baru
baru-baru	baru - baru	baru
basis	basis	basis
batu	batu	batu
batuannya	batu an nya	batu
batubara	batubara	batubara
Bawa	Bawa	Bawa
bayi	bayi	bayi
beban	beban	beban
Beberapa	Be berapa	berapa
beberkan	beber kan	beber
bedah	bedah	bedah
