token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
अंक	ank	ank	ank	ank	ank	ank
अकेले	akele	akele	akel e	akel e	akel	akel
अगर	agar	agar	agar	agar	agar	agar
अगला	aglaa	aglaa	agl aa	agl aa	agl	agl
अगली	aglii	aglii	agl ii	agl ii	agl	agl
अगले	agle	agle	agl e	agl e	agl	agl
अंगों	angong	angong	ang ong	ang ong	ang	ang
अग्निशामकों	agnishaamakong	agnishaamakong	agni shaamak ong	agni shaamak ong	shaamak	shaamak
अग्रणी	agranii	agranii	agra n ii	agra n ii	agra	agra
अग्रिम	agrim	agrim	agrim	agrim	agrim	agrim
अंग्रेजी	angrejii	angrejii	angrej ii	angrej ii	angrej	angrej
अंग्रेजों	angrejong	angrejong	angrej ong	angrej ong	angrej	angrej
अचानक	achhaanak	achaanak	achhaanak	achaanak	achhaanak	achaanak
अच्छी	achhchhii	achchhii	achhchh ii	achchh ii	achhchh	achchh
अच्छे	achhchhe	achchhe	achhchh e	achchh e	achhchh	achchh
अछूता	achhuutaa	achhuutaa	a chhuutaa	a chhuutaa	chhuut	chhuut
अंजाम	anjaam	anjaam	anjaam	anjaam	anjaam	anjaam
अटूट	atuut	atuut	a tuut	a tuut	tuut	tuut
अंडा	andaa	andaa	and aa	and aa	and	and
अड्डों	addong	addong	add ong	add ong	add	add
अंतरराष्ट्रीय	antararaashtriiy	antararaashtriiy	antara raashtr iiy	antara raashtr iiy	raashtr	raashtr
अंतराल	antaraal	antaraal	antar aal	antar aal	aal	aal
अंतर्गत	antargat	antargat	antar gat	antar gat	gat	gat
अति	ati	ati	ati	ati	ati	ati
अतिथि	atithi	atithi	atithi	atithi	atithi	atithi
अंतिम	antim	antim	antim	antim	antim	antim
अतिरिक्त	atirikt	atirikt	ati rik t	ati rik t	rik	rik
अत्यंत	atyant	atyant	aty ant	aty ant	ant	ant
अथवा	athvaa	athvaa	athvaa	athvaa	athvaa	athvaa
अंदर	andar	andar	andar	andar	andar	andar
अदालत	adaalat	adaalat	adaalat	adaalat	adaalat	adaalat
अंधड़	andhar	andhar	andhar	andhar	andhar	andhar
अधिक	adhik	adhik	adhik	adhik	adhik	adhik
अधिकतर	adhikatar	adhikatar	adhika tar	adhika tar	adhika	adhika
अधिकार	adhikaar	adhikaar	adhi kaar	adhi kaar	kaar	kaar
अधिकारिओं	adhikaariong	adhikaariong	adhi kaar i ong	adhi kaar i ong	kaar	kaar
अधिकारियों	adhikaariyong	adhikaariyong	adhi kaar iy ong	adhi kaar iy ong	kaar	kaar
अधिकारी	adhikaarii	adhikaarii	adhi kaar ii	adhi kaar ii	kaar	kaar
अधिकारों	adhikaarong	adhikaarong	adhi kaar ong	adhi kaar ong	kaar	kaar
अधिकांश	adhikaansh	adhikaansh	adhika ansh	adhika ansh	ansh	ansh
अधिगृहीत	adhigrihiit	adhigrihiit	adhi grih iit	adhi grih iit	grih	grih
अधीक्षक	adhiikshak	adhiikshak	adhi ikshak	adhi ikshak	ikshak	ikshak
अंधेर	andher	andher	andher	andher	andher	andher
अँधेरे	andhere	andhere	andher e	andher e	andher	andher
अंधेरे	andhere	andhere	andher e	andher e	andher	andher
अनमोल	anmol	anmol	anmol	anmol	anmol	anmol
अनाथ	anaath	anaath	a naath	a naath	naath	naath
