token	segmentation	root
ábrája	ábrá ja	ábra
ábrán	ábrá n	ábra
acél	acél	acél
adataival	adat a i val	adat 
adathalmazt	adat halmaz t	adat 
addigra	addig ra	addig
adott	ad ott	ad 
aeroszolizálta	aeroszol izált a	aeroszol 
aggodtam	aggod tam	aggod
aggódunk	aggód unk	aggód 
ágyas	ágy as	ágy
ahogy	a hogy	hogy
Ahol	A hol	hol
ahova	a hova	hova
Ajánlott	Ajánl ott	Ajánl
akác	akác	akác
akció	akció	akció
akibe	a ki be	ki
aktivizálódása	aktiv i zá ló dás a	aktiv 
aktuális	aktuális	aktuális
aktuálisan	aktuális an	aktuális
alábukás	alá bukás	buk
alábukását	alá bukás á t	buk
alakították	alakított ák	alakít
alakjuk	alak juk	alak
alapvetőbb	alap vető bb	alap
Alapvetően	Alap vető en	Alap 
alatt	alatt	alatt
Áldott	Áldott	Áld
áldozata	áld oz at a	áldoz 
áldozataikat	áld oz at a i kat	áldoz
áldozatainak	áld oz at a i nak	áldoz 
áldozat	áld oz at	áldoz
áldozatának	áld oz at á nak	áldoz
áldozatául	áld oz at á ul	áldoz
áldozatokról	áld oz at ok ról	áldoz
áldozatra	áld oz at ra	áldoz
áldozatul	áld oz at ul	áldoz
alföldi	alföld i	alföld
alkalmazása	alkalmaz ása	alkalmas
alkalmazható	alkalmaz hat ó	alkalmas
alkalmazták	alkalmaz ták	alkalmas
alkotmányba	alkotmány ba	alkot
Állam	Állam	Állam
Államok	Állam ok	Állam
Államokban	Állam ok ban	Állam
állapotokat	állapot ok at	állapot
álláspontra	áll ás pont ra	áll
allnak	all nak	all
állnak	áll nak	áll
állt	áll t	áll
álltok	áll t ok	áll
állunk	ál lunk	áll
általában	által á ban	által
által	által	által
Amatőr	Amatőr	Amatőr
amelyet	amely et	amely
amelynek	amely nek	amely
amennyire	amennyi re	amennyi
Amerikai	Amerika i	Amerika
amiért	a miért	miért
Amint	Amint	Ami
amitől	ami től	ami
amivel	a mivel	mivel
Anglia	Anglia	Anglia
Ankarai	Ankara i	Ankara
annal	annal	annal
annyira	annyir a	annyi
anyagok	anyag ok	anyag
ápoltak	ápol t ak	ápol 
áprilisi	április i	április
apró	apró	apró
arab	arab	arab
áradása	árad ás a	árad
áradás	árad ás	árad
Áram	Áram	Áram
áramlásainak	áram lás a i nak	áram
áramlás	áram lás	áram
arány	arány	arány
arányt	arány t	arány
árban	ár ban	ár
arcukra	arcuk ra	arc
árkádok	árkád ok	árkád
Árvíz	Ár víz	víz
asztal	asztal	asztal
átadni	át ad ni	ad
átadó	át ad ó	ad
áthaladt	át halad t	halad
átjárt	át jár t	jár
átkelőn	át kelő n	kel
átkeresztelték	át kereszt el ték	kereszt
átlagosan	át lag os an	átlag
átlagosnak	át lag os nak	átlag
átlagosnál	átlagos nál	átlag
atlantai	atlanta i	atlanta
atrocitás	atroci t ás	atrocitás
átsöpör	át söpör	söpör
átszelte	át szelt e	szel
átvillant	át villan t	villan
Augusztus	Augusztus	Augusztus
augusztusban	augusztus ban	augusztus
Ausztráliában	Ausztráliá ban	Ausztráliá
Autóba	Au tóba	Autó
avartűz	avar tűz	avar + tűz
azáltal	az által	által
azbeszt	azbeszt	azbeszt
azokat	az ok at	az 
Ázsia	Ázsia	Ázsia
Ázsiában	Ázsiá ban	Ázsiá
aztám	az tám	az tám
aztán	aztán	aztán
bacsik	bacsi k	bacsi
baja	baj a	baj
Bajor	Bajor	Bajor
bajuk	baj uk	baj
baloldal	bal oldal	oldal
Baloldali	Bal oldal i	oldal
bányakatasztrófáktól	bánya katasztrófá k tól	bánya
Bárányhimlő	Bárány himlő	Bárány
bar	bar	bar
barcsak	bar csak	bar 
bárhol	bár hol	bár 
bármi	bár mi	bár
bazársor	bazár sor	bazár
beavatkozás	be avatkoz ás	avatkozik
be	be	be
beborította	be borít ott a	borít 
Bécsben	Bécs ben	Bécs
befogadja	be fogad ja	fogad
befolyásolni	be foly ás ol ni	foly
begyűjteni	be gyűj ten i	gyűjt
behelyezése	be hely ez é se	hely
bejegyzés	be jegy zés	jegy
bejelentkezve	be jelent kez ve	jelent
bekövetkezte	be követ kez te	követ
belépő	be lép ő	lép 
belole	be lo le	belole
belőle	be lől e	belőle
belül	belül	belül
Benettonnal	Benetton nal	Benetton
benézett	be nézet t	nézet
benne	benne	benne
bent	bent	bent
beosztottja	be osztott ja	oszt
berakása	be rak ása	rak
berendezeseket	be rend ez es ek et	rend 
bergadali	bergadal i	bergadal
Berlinben	Berlin ben	Berlin
beszámolt	be számol t	számol
beszélgetett	beszél get ett	beszél
beszélgethessenek	beszél get hessen ek	beszél
beszélgetni	beszél get ni	beszél
beszélgetve	beszél get ve	beszél 
beszélt	beszél t	beszél
beszelve	beszel ve	beszel
beszoltam	be szolt am	szolt
betegeiket	beteg e i ket	beteg
betegséggel	beteg ség gel	beteg 
betegségnek	beteg ség nek	beteg 
beutaztató	be utaz tat ó	utaz
beütött	be üt ött	üt
bevetették	be vet ett ék	vet
bezárt	be zár t	zár
bírálat	bírál at	bírál
bizonyosodtak	bizony os od tak	bizony 
bizonyult	bizony ult	bizony
bizottsága	bizottság a	bizottság
biztonságát	biztonság át	biztonság 
biztonságos	biztonság os	biztonság 
biztosan	biztos an	biztos 
biztosított	biztos í tott	biztos 
blogbejegyzést	blog bejegyzés t	bejegyzés
bocsátkozott	bocsát koz ott	bocsát 
boltozatos	boltozat os	boltozat
Bomba	Bomba	Bomba
bombarobbantásokra	bomba robban tás ok ra	bomba 
bontotta	bont ott a	bont 
borítva	borít va	borít 
Borkonyha	Bor konyha	Bor 
borotva	borotva	borotva
bozótostól	bozót os tól	bozót
Brüsszelbe	Brüsszel be	Brüsszel
Brüsszeli	Brüsszel i	Brüsszel 
Budapesten	Budapest en	Budapest 
Budapesttől	Budapest től	Budapest 
bukik	bukik	bukik
büntetést	bün t et ést	bün 
bunyóval	bunyó val	bunyó 
buszbalesetnek	busz baleset nek	busz 
busz	busz	busz
büszkélkedhet	büszké l ked het	büszke
buszpályaudvarra	busz pálya udvar ra	busz
búzaexportőrei	búza export őre i	búza
céget	cég et	cég 
célra	cél ra	cél 
Changemakersnek	Changemakers nek	Changemakers 
Charleytól	Charley tól	Charley 
cikkből	cikk ből	cikk 
cikkek	cikk ek	cikk 
ciklon	ciklon	ciklon
ciklonja	ciklon ja	ciklon 
Ciklonok	Ciklon ok	Ciklon 
ciklus	ciklus	ciklus
ciklusra	ciklus ra	ciklus 
cím	cím	cím
cipeljenek	cipel je nek	cipel 
