token	segmentation	root
abandonado	a band on ad o	band
abarca	a barc a	barc
abogado	abogad o	abogad
abombada	a bomb ad a	bomb
abordan	a bord an	bord
abrazo	abraz o	abraz
abren	abr en	abr
Abril	Abril	Abril
abrió	abr ió	abr
abrir	abr ir	abr
absoluta	ab solut a	solut
abusadores	abus ador es	abus
abuso	abus o	abus
abusos	abus o s	abus
acaba	acab a	acab
acaban	acab an	acab
acabo	acab o	acab
acaso	acaso	acaso
acatan	acat an	acat
acatarla	acat ar la	acat
acción	ac ción	ac
aceite	aceite	aceite
aceptaron	acept aron	acept
aceptó	acept ó	acept
acerca	a cerca	cerca
acero	acer o	acer
acompañaron	a compañ aron	compañ
acordar	acord ar	acord
acres	acre s	acre
actividades	act iv idad es	act
activistas	act iv ista s	act
activos	act iv o s	act
acto	act o	act
acuerdo	ac<ue>rd o	ac<ue>rd
acuestan	ac<ue>st an	ac<ue>st
acumulan	a cumul an	cumul
acusaciones	acus acion es	acus
acusado	acus ad o	acus
acusados	acus ad o s	acus
acusar	acus ar	acus
acusó	acus ó	acus
adecuado	a decu ad o	decu
adelante	a delante	delante
adentrarse	a dentr ar se	dentr
administración	ad ministr ación	ministr
administren	ad ministr en	minist
adolescentes	adolescente s	adolescente
adoptó	adopt ó	adop
adquirir	ad quir ir	quir
advertencia	advert enci a	advert
advirtió	adv<i>rt ió	adv<i>rt
Aérea	Aére a	Aére a
aéreo	aére o	aére o
Aerolíneas	Aero líne a s	Aero línea
afectada	afect ad a	afect
afectadas	afect ad a s	afect
afectados	afect ad o s	afect
afectaron	afect aron	afect
afectó	afect ó	afect
afgano	afgan o	afgan
afirman	afirm an	afirm
Afortunadamente	A fortun ad a mente	fortun
afuera	a fuera	fuera
agarre	a garre	garre
agencias	ag enci a s	ag
agrario	agr ari o	agr
agregó	agreg ó	agreg
agua	agu a	agu
aguas	agu a s	agu
ahí	ahí	ahí
ahorrados	ahorr ad o s	ahorr
ahorro	ahorr o	ahorr
AIRES	AIRE S	AIRE
aislamiento	aisl amient o	aisl
ajenas	ajen a s	ajen
ajenos	ajen o s	ajen
alcance	alcan<c>e	alcan<c>e
alcohólicas	alcohól ic a s	alcohól
alegaron	a leg aron	leg
alejado	a lej ad o	lej
alejó	a lej ó	lej
alemanes	aleman es	aleman
aleta	alet a	alet
álgido	álgid o	álgid
alguien	alguien	alguien
algun	algun	algun
alguno	algun o	algun
alimentaria	aliment ari a	aliment
allegados	alleg ad o s	alleg
alli	alli	alli
Alrededor	Alrededor	Alrededor
alude	alud e	alud
AMARILLENTAS	AMARILL ENT A S	AMARILL
ambas	amb a s	amb 
ambiental	ambient al	ambient
ámbito	ámbit o	ámbit
amenazado	amenaz ad o	amenaz
Americanista	Americ an ista	Americ
amigos	amig o s	amig
amnistías	amnistí a s	amnistí
amo	am o	am
amoladores	amol ador es	amol
amoldazar	a moldaz ar	moldaz
amonio	amoni o	amoni
amplia	ampli a	ampli
ampliamente	ampli amente	ampli
amplios	ampli o s	ampli
añádale	añád a le	añád 
añadieron	añad ieron	añad
Añadió	Añad ió	Añad
analizar	analiz ar	analiz
anaranjado	a naranj ad o	naranj
andino	and in o	and
Animo	Anim o	Anim
ánimo	ánim o	ánim
aniversario	aniversari o	aniversari
año	añ o	añ
anoche	a noche	noche
anonima	anonim a	anonim
Ante	Ante	Ante
antemano	ante mano	mano
anteriores	ant erior es	ant
Antes	Antes	Antes
antiguo	antigu o	antigu
antiterroristas	anti terr or ista s	terr
antojos	antoj o s	antoj
anulando	anul ando	anul
anunciada	anunci ad a	anunci
apaleados	a pale ad o s	pale 
aparato	aparat o	aparat
aparatos	aparat o s	aparat
aparecieron	a parec ieron	parec
apareció	a pare ció	pare
Aparentemente	A parente mente	parente
apartamentos	apartament o s	apartament
apego	a peg o	apeg
apenas	a penas	penas
apertura	apertur a	apertur
apocalipsis	apocalipsis	apocalipsis
apolítico	a polític o	polític
apostando	apost ando	apost
Apoyando	Apoy ando	Apoy
apoyar	apoy ar	apoy
apoyarán	apoy arán	apoy
aprehender	aprehend er	aprehend
aprobado	a prob ad o	prob
aproximaba	a proxim aba	proxim
aproximadamente	a proxim ad a mente	proxim
Aprueban	A pr<ue>b an	A pr<ue>b
apunta	a punt a	punt
AQUI	AQUI	AQUI
Aquí	Aquí	Aquí
árabe	árabe	árabe
arcas	arc a s	arc
archivados	archiv ad o s	archiv
arcos	arc o s	arc
arde	ard e	ard
áreas	áre a s	áre
argumento	argument o	argument
Armadas	Arm ad a s	Arm
armado	arm ad o	arm
armador	arm ador	arm
armando	arm ando	arm
armas	arm a s	arm
armo	arm o	arm
arrasadas	a rras ad a s	rras
arrasado	a rras ad o	rras
arrasaron	a rras aron	rras
arrastrados	a rrastr ad o s	rrastr
arrestado	arrest ad o	arrest
arrestados	arrest ad o s	arrest
arrestaron	arrest aron	arrest
arribar	arrib ar	arrib
asaltaban	a salt aban	salt
Asamblea	Asamble a	Asamble
ascendieron	ascend ieron	ascend
asco	asc o	asc
asegurar	a segur ar	segur
Aseguró	A segur ó	segur
asesina	asesin a	asesin
asesinan	asesin an	asesin
asesores	asesor es	asesor
aseveración	a sever ación	sever
asociación	a soci ación	soci
aspecto	aspect o	aspect
asquerosos	as<q>u eros o s	as<q>u
asunto	asunt o	asunt
Asuntos	Asunt o s	Asunt
asustan	a sust an	sust
atacantes	atac ante s	atac
atacaron	atac aron	atac
atendidos	atend id o s	atend
atentados	atent ad o s	atent
aterrizaban	a terr iz aban	terr
aterrizar	a terr iz ar	terr
atípico	a típic o	típic
ATLETA	ATLETA	ATLETA
atrear	atre ar	atre
atroces	atro<c> es	atro<c>
atropello	atropell o	atropell
AUDIO	AUDIO	AUDIO
aumento	aument o	aument
aun	aun	aun
aunque	aunque	aunque
Australiano	Australi an o	Australi
automóvil	auto móvil	móvil
automóviles	auto móvil es	móvil
autor	autor	autor
avance	avan<c> e	avan<c>
Avión	Avión	Avión
avispa	avisp a	avisp
ayuda	ayud a	ayud
ayudarían	ayud arían	ayud
ayude	ayud e	ayud
ayuden	ayud en	ayud
ayudo	ayud o	ayud
azotada	azot ad a	azot
azotadas	azot ad a s	azot
azotó	azot ó	azot
bailaron	bail aron	bail
bajos	baj o s	baj
BALACERA	BAL A CER A	BAL
balas	bal a s	bal
balostres	balostr es	balostr
banano	banan o	banan
bancos	banc o s	banc
banda	band a	band
bandas	band a s	band
BANDOLERISMO	BANDOL ER ISM O	BANDOL
barrera	barrer a	barrer
Barrio	Barri o	Barri
básicos	básic o s	básic
bastante	bast ante	bast
bebidas	beb id a s	beb
bebieron	beb ieron	beb
beneficio	benefici o	benefici
beneficios	benefici o s	benefici
bicicleta	bi cicl et a	cicl
bien	bien	bien
Bienvenido	Bien ven id o	ven
blanca	blanc a	blanc
blanco	blanc o	blanc
bloque	bloque	bloque
bloqueada	bloque ad a	bloque
boludos	bol ud o s	bol
bombas	bomb a s	bomb
borron	borr on	borr
boxeador	boxe ador	boxe
brazilero	brazil er o	brazil
brigada	brig ad a	brig
brindando	brind ando	brind
brindar	brind ar	brind
brindarles	brind ar les	brind
brochas	broch a s	broch
broma	brom a	brom
bronca	bronc a	bronc
bronce	bronce	bronce
buena	buen a	buen
bueno	buen o	buen
buenos	buen o s	buen
buscaba	busc aba	busc
buscamos	busc amos	busc
buscando	busc ando	busc
buscó	busc ó	busc
caballos	caball o s	caball
cabezas	cabez a s	cabez
cabo	cab o	cab
cagan	cag an	cag
caído	ca íd o	ca
calculo	calcul o	calcul
cálculo	cálcul o	cálcul
cálculos	cálcul o s	cálcul
calificado	cal ific ad o	cal
calle	calle	calle
calles	calle s	calle
Cámara	Cámar a	Cámar
cámaras	cámar a s	cámar
camas	cam a s	cam
cambio	cambi o	cambi
caminaron	camin aron	camin
camión	camión	camión
campaña	campañ a	campañ
CAMPESINOS	CAMP ESIN O S	CAMP
Campos	Camp o s	Camp
canal	canal	canal
cancela	cancel a	cancel
cancelados	cancel ad o s	cancel
canceló	cancel ó	cancel
cáncer	cáncer	cáncer
canciller	cancill er	cancill
canciones	cancion es	cancion
candidatura	candidat ur a	candidat
Cantar	Cant ar	Cant
canten	cant en	cant
Cantos	Cant o s	Cant
capacitados	capacit ad o s	capacit
capitalismo	capital ism o	capital
capitalista	capital ista	capital
capitalistas	capital ista s	capital
capitán	capitán	capitán
capturados	captur ad o s	captur
cara	car a	car
carajo	caraj o	caraj
cárcel	cárcel	cárcel
carceles	carcel es	carcel
cárceles	cárcel es	cárcel
carece	carec e	carec
cargado	carg ad o	carg
cargados	carg ad o s	carg
cargo	carg o	carg
cargos	carg o s	carg
caribeña	carib eñ a	carib
Caribenos	Carib en o s	Carib
caro	car o	car
caros	car o s	car
carrera	carrer a	carrer
carrona	carron a	carron
carta	cart a	cart
casa	cas a	cas
Casi	Casi	Casi
casos	cas o s	cas
castigar	castig ar	castig
castigo	castig o	castig
castrista	castr ista	castr
castro	castr o	castr
castros	castr o s	castr
católicos	católic o s	católic
Cauchero	Cauch er o	Cauch
cayeron	ca yeron	ca
cazadores	caz ador es	caz
célula	célul a	célul
centímetros	centí metr o s	metr
centrado	centr ad o	centr
centroamericanos	centr o americ an o s	americ
centros	centr o s	centr
cercana	cerc an a	cerc
cercanas	cerc an a s	cerc
cercano	cerc an o	cerc
certeza	cert ez a	cert
charlatanes	charlatan es	charlatan
chepo	chepo	chepo
cheque	cheque	cheque
chicharron	chicharr on	chicharr
chileno	chil en o	chil
chino	chin o	chin
chófer	chófer	chófer
choque	choque	choque
choreo	chore o	chore
cierre	c<ie>rr e	c<ie>rr
ciertas	ciert a s	ciert
cierto	ciert o	ciert
cifra	cifr a	cifr
cinco	cinco	cinco
cirujano	cirujan o	cirujan
clamidia	clamidi a	clamidi
clandestina	clandestin a	clandestin
clandestinas	clandestin a s	clandestin
Claro	Clar o	Clar
club	club	club
clubes	club es	club
coincidieron	coincid ieron	coincid
COJAS	CO<J> AS	CO<J>
coje	coj e	coj
cola	col a	col
colector	colec tor	colec
colera	coler a	coler
colocada	coloc ada	coloc
colocas	coloc as	coloc 
Colombianos	Colombi an o s	Colombi
Combate	Combat e	Combat
combatiente	combat iente	combat
combatir	combat ir	combat
comentario	coment ari o	coment
comenzar	comenz ar	comenz
comenzó	comenz ó	comenz
comerciados	comerci ad o s	comerci
comerciar	comerci ar	comerci
comienzo	com<ie>nz o	com<ie>nz
comite	comite	comite
Cómo	Cómo	Cómo
comparar	compar ar	compar
comparte	compart e	compart
compás	compás	compás
compensar	compens ar	compens
completado	complet ad o	complet
complicado	complic ad o	complic
cómplice	cómplice	cómplice
compraban	compr aban	compr
comprado	compr ad o	compr
compradores	compr ador es	compr
comprados	compr ad o s	compr
comprarlos	compr ar los	compr
comprarse	compr ar se	compr
compro	compr o	compr
comprobadores	com prob ador es	prob
comprometerse	com promet er se	promet
compromiso	com promis o	promis
Común	Común	Común
comunicación	comunic ación	comunic
comunicado	comunic ad o	comunic
comunismo	comun ism o	comun
comunista	comun ista	comun
comunistas	comun ista s	comun
con	con	con
concentracion	con centr acion	centr
concentramos	con centr amos	centr
concierto	conciert o	conciert
concluida	con clu id a	clu
condenado	conden ad o	conden
condenados	conden ad o s	conden
condenarlo	conden ar lo	conden
condenas	conden a s	conden
condición	condi ción	condi
confesión	confes ión	confes
confianza	con fi anz a	fi
confirmado	con firm ad o	firm
confirmó	con firm ó	firm
conflictiva	conflict iv a	conflict
conformar	con form ar	form
conforme	con form e	form
congreso	congres o	congres
conmemoró	con memor ó	memor
CONMIGO	CON MIGO	MIGO
conocen	conoc en	conoc
conocí	conoc í	conoc
conocida	conoc id a	conoc
conocieron	conoc ieron	conoc
conquistas	conquist a s	conquist
consideraba	consider aba	consider
considerada	consider ad a	consider
consideran	consid eran	consid
consideró	consider ó	consider
consigna	consign a	consign
consigo	con sigo	sigo
conspiraciones	conspir acion es	conspir
conspirar	conspir ar	conspir
constante	constante	constante
constituyen	con stitu yen	stitu
consumado	consum ad o	consum
consume	consum e	consum e
contaminar	contamin ar	contamin
contarlo	cont ar lo	cont
contempla	contempl a	contempl
Contestar	Contest ar	Contest
CONTESTES	CONTEST ES	CONTEST
continuaban	continu aban	continu
continúan	continú an	continú
continuaremos	continu aremos	continu
continuaron	continu aron	continu
contra	contra	contra
contrajeron	contra<j> eron	contra<j>
contraparte	contra parte	parte
contratar	contrat ar	contrat
contratistas	contrat ista s	contrat
contribuye	con tribu ye	tribu
contribuyeron	con tribu yeron	tribu
control	control	control
controlado	control ad o	control
conversar	convers ar	convers
convictos	convict o s	convict
convocadas	con voc ad a s	voc
coordina	co ordin a	ordin
coordinación	co ordin ación	ordin
copar	cop ar	cop
corazón	corazón	corazón
cordillera	cordiller a	cordiller
corresponde	co rrespond e	rrespond
corrían	corr ían	corr
corrupción	co rrup ción	rrup
corte	corte	corte
Cortenles	Cort en les	Cort
cortos	cort o s	cort
cosas	cos a s	cos
costa	cost a	cost
costarricense	cost a rric ense	cost
costeras	cost er a s	cost
costeros	cost er o s	cost
costos	cost o s	cost
creada	cre ad a	cre
creado	cre ad o	cre
crean	cre an	cre
CREANDO	CRE ANDO	CRE
crearon	cre aron	cre
crecida	crec id a	crec
creciendo	crec iend o	crec
crecimiento	crec imient o	crec
credibilidad	cred ibil idad	cred
Crédito	Crédit o	Crédit
cree	cre e	cre
creer	cre er	cre
creerte	cre er te	cre
creés	cre és	cre
creó	cre ó	cre
creyeron	cre yeron	cre
crimen	crimen	crimen
crímenes	crímen es	crímen
criminal	crimin al	crimin
criminales	crimin al es	crimin
criminalización	crimin al iz ación	crimin
crisis	crisis	crisis
criticada	critic ad a	critic
críticas	crític a s	crític
cual	cual	cual
Cuando	Cuando	Cuando
cuantos	cuant o s	cuant
Cuatro	Cuatro	Cuatro
cubana	cub an a	cub
Cubano	Cub an o	Cub
Cubanos	Cub an o s	Cub
Cubita	Cub it a	Cub 
cuentas	c<ue>nt as	c<ue>nt
cuerpo	cuerp o	cuerp
cuerpos	cuerp o s	cuerp 
cuesta	c<ue>st a	c<ue>st
cueste	c<ue>st e	c<ue>st
cuestión	cuestión	cuestión
cuestionó	cuestion ó	cuestion
culpa	culp a	culp
culpar	culp ar	culp
cumplan	cumpl an	cumpl
cumplimiento	cumpl imient o	cumpl
cumplir	cumpl ir	cumpl
cuna	cun a	cun
Curo	Cur o	Cur
curso	curs o	curs
da	d a	d
DADO	D AD O	D
dama	dam a	dam
Damnificados	Damn ific ad o s	Damn
dan	d an	d
dando	d ando	d
DAÑO	DAÑ O	DAÑ
daños	dañ o s	dañ
DAR	D AR	D
DARLE	D AR LE	D
debatido	debat id o	debat
debe	deb e	deb
deber	deb er	deb
debía	deb ía	deb
débil	débil	débil
década	déc ad a	déc ad
decide	decid e	decid
decidió	decid ió	decid
décimas	déc im a s	déc
décimo	déc im o	déc
decir	dec ir	dec
decirle	dec ir le	dec
decisiones	deci sion es	deci
declaraciones	declar acion es	declar
declarado	declar ad o	declar
Declaran	Decl aran	Decl
declarar	declar ar	declar
decomisado	de comis ad o	comis
Decreta	Decret a	Decret
dedica	dedic a	dedic
defectos	defect o s	defect
defendido	defend id o	defend
defienden	def<ie>nd en	def<ie>nd
defiendes	def<ie>nd es	def<ie>nd
define	defin e	defin
deja	dej a	dej
dejadas	dej ad a s	dej
dejado	dej ad o	dej
dejan	dej an	dej
dejando	dej ando	dej
dejar	dej ar	dej
dejará	dej ará	dej
dejaras	dej aras	dej
dejas	dej as	dej
deje	dej e	dej
dejo	dej o	dej
dejó	dej ó	dej
del	d el	el
delincuencia	delincu enci a	delincu
demócrata	demócrata	demócrata
demoraron	demor aron	demor
demosle	d emos le	d
demuestra	de m<ue>str a	de m<ue>str
den	d en	d
DENTRO	DENTRO	DENTRO
denuncia	denunci a	denunci
denuncias	denunci a s	denunci
denunció	denun ció	denun
departamento	departament o	departament
deportes	deporte s	deporte
depósito	depósito	depósito
depósitos	depósit o s	depósit
derechos	derech o s	derech
derivados	deriv ad o s	deriv
derrocar	derroc ar	derroc
derrota	derrot a	derrot
desaparecidas	des a parec id a s	parec
desaparecidos	des a parec id o s	parec
desapareció	des a parec ió	parec
Desarrollo	Desarroll o	Desarroll
desató	des at ó	at
desbaratados	des barat ad o s	barat
descomposición	des compo si ción	compo
desconoce	des conoc e	conoc
Desconocimiento	Des conoc imient o	conoc
descubren	des cubr en	cubr
desdenado	desden ad o	desden
desesperacion	des esper acion	esper
desmadrados	des madr ad o s	madr
desmembrado	des membr ad o	membr
despenalización	des pen al iz ación	pen
desplazadas	des plaz ad a s	plaz
desplomarse	des plom ar se	desplom
desprecio	des preci o	preci
después	después	después
destacó	destac ó	destac
destino	destin o	destin
destruirla	de stru ir la	stru
desventaja	des ventaj a	ventaj
desvincular	des vincul ar	vincul
detalle	detalle	detalle
detalles	detalle s	detalle
Detalló	Detall ó	Detall
detectados	detect ad o s	detect
detenciones	de ten cion es	ten
detenidos	de ten id o s	ten
determinar	de termin ar	termin
detonar	de ton ar	ton
Deuda	Deud a	Deud
devora	de vor a	vor
día	día	día
diarrea	diarre a	diarre
dias	dia s	dia
días	día s	día
DICE	D<I>C E	D<I>C
dices	d<i>c es	d<i>c
dictadas	dict ad a s	dict
dieron	d ieron	d
diez	diez	diez
diezmó	diez m ó	diez
diferentes	diferente s	diferente
difícil	difícil	difícil
difundió	di fund ió	fund
digan	d<i> gan	d<i>
digo	d<i> go	d<i>
dijo	d<i> jo	d<i>
dilapidaron	dilapid aron	dilapid
