token	segmentation
aadɛn	a adɛn
Aane	Aane
Aba	A ba
abakɔsɛm	abakɔ sɛm
aban	aban
abatoɔ	aba toɔ
abɛbrɛ	a bɛ brɛ
abɛdum	a bɛ dum
abɛduru	abɛ duru
abɛfa	a bɛ fa
Abɛfra	A bɛ fra
abɛgu	a bɛ gu
abɛgugu	a bɛ gu gu
abɛgya	a bɛ gya
abɛgye	a bɛ gye
abɛgyina	a bɛ gyina
abɛka	a bɛ ka
abɛkasa	a bɛ kasa
abɛkyerɛ	a bɛ kyerɛ
abɛma	a bɛ ma
abene	a bene
abɛpue	a bɛ pue
aberɛ	a berɛ
abɛsi	a bɛ si
abɛtena	a bɛ tena
abɛtie	a bɛ tie
abɛtoa	a bɛ toa
abɛtoto	a bɛ toto
abɛtwetwe	a bɛ twe twe
abɛyɛ	a bɛ yɛ
aboa	a boa
abɔ	a bɔ
abobɔ	a bobɔ
abom	a bom
abɔntene	abɔntene
aboɔ	a boɔ
aboro	a boro
aborɔ	a borɔ
abɔsoɔ	a bɔ soɔ
abotare	abotare
aboterɛ	aboterɛ
abrabɔ	abrabɔ
abre	a bre
abrɛ	a brɛ
abrewa	abrewa
Abu	A bu
abue	a bue
abufuo	a bufu o
abusuafoɔ	abusua foɔ
abutu	a butu
ada	a da
adaagye	adaagye
adan	a dan
Adankra	Adankra
Adankranya	Adankra nya
adansefoɔ	a danse foɔ
Adansi	A dan si
adaworoma	adaworoma
ade	ade
adebɔne	ade bɔne
adeɛ	a deɛ
adehyɛ	ade hyɛ
adehyeɛ	ade hye ɛ
adekorɔ	ade korɔ
adekye	adekye
adɛn	a dɛn
Adɛn	A dɛn
adesua	adesua
adi	a di
adidi	a di di
Adom	Adom
adorɔbafoɔ	ado rɔ ba foɔ
adu	a du
aduane	a duane
aduasa	a duasa
adum	a dum
aduonu	aduo nu
aduonum	aduo num
aduro	a duro
aduru	a duru
adwadie	a dwa die
adwane	a dwane
adwene	a dwene
adworoma	adworoma
adwuma	a dwuma
adwumanom	a dwuma nom
adze	adze
adzepa	adze pa
afa	a fa
Afe	A fe
afenaa	a fenaa
afena	a fena
afidie	a fidie
Afiri	A firi
afom	a fom
afoum	a foum
afu	a fu
agorɔ	agorɔ
agu	a gu
aguo	a gu o
agya	a gya
agyae	a gya e
Agye	A gye
agyina	a gyina
aha	a ha
ahe	ahe
Ahenkora	Ahen kora
ahia	a hia
ahoboa	ahoboa
ahodoɔ	ahodoɔ
ahohoro	aho horo
ahonnidie	ahonni die
ahotɔ	ahotɔ
ahunu	a hu nu
ahwie	a hwi e
ahye	a hye
ahyɛ	a hyɛ
ahyia	a hyia
Aka	A ka
akakyerɛ	a ka kyerɛ
akan	akan
akasa	a kasa
akeka	a ke ka
akɛseɛ	a kɛse ɛ
akoa	a koa
ako	a ko
akɔ	a kɔ
akɔda	a kɔ da
akɔdi	a kɔ di
akɔfa	a kɔ fa
akɔgu	a kɔ gu
akɔgye	a kɔ gye
akɔgyegye	a kɔ gye gye
akɔhwɛ	a kɔ hwɛ
akɔhyia	a kɔ hyia
akɔkasa	a kɔ kasa
akokoduro	akoko duro
akokoɔduro	akokoɔ duro
akɔmfo	a kɔm fo
akɔneaba	akɔne a ba
akɔnnɔ	a kɔnnɔ
akontaabuo	akontaa buo
akɔsi	a kɔ si
akɔso	a kɔ so
akɔtena	a kɔ tena
akɔtɔ	a kɔ tɔ
akɔtwa	a kɔ twa
akɔyɛ	a kɔ yɛ
aku	a ku
Akufo	Akufo
Akum	A kum
akwaaba	akwaaba
Akwamuhene	Akwamu hene
akwan	a kwan
akwanhyia	akwan hyia
akwanya	akwan ya
akye	a kye
akyɛ	a kyɛ
akyeakyea	a kyea kyea
akyerɛ	a kyerɛ
akyɛw	a kyɛw
akyi	a kyi
akyire	a kyire
akyiri	a kyiri
akyitafoɔ	a kyita foɔ
Ama	A ma
amafoɔ	ama foɔ
amammerɛ	a ma m <m>erɛ
amammou	a ma m <m>ou
amammuo	a ma m <m>uo
aman	a man
amanfoɔ	a man foɔ
amanhodoɔ	a man hodoɔ
amannebɔfoɔ	amanne bɔ foɔ
amannebɔni	amanne bɔ ni
amanneɛ	amanneɛ
amannwɔkuo	a mannwɔ kuo
amansan	a man san
amanwaɔkuo	a manwaɔ kuo
amanwɔkuo	a manwɔ kuo
amanyɔ	a manyɔ
amanyɔkuo	amanyɔ kuo
amanyɔsɛm	amanyɔ sɛm
amfa	a m fa
amma	a m <m>a
ammɛ	a m <m>ɛ
ammene	a m <m>ene
ammɛsuma	a m<m>ɛ suma
ammoa	a m <m>oa
ampa	a mpa
Amuni	A muni
anaa	anaa
Anaasɛ	Anaa sɛ
anadwo	anadwo
anammɔn	anammɔn
anan	a nan
ananneɛ	a nan neɛ
anasɛ	ana sɛ
ane	a ne
Anha	A n ha
ani	ani
anidasoɔ	anida soɔ
anigyesɛm	anigye sɛm
anika	anika
anim	a nim
ankaa	ankaa
anka	a n ka
ankasa	a n kasa
ankɔ	a n kɔ
ankɔyɛ	a n kɔ yɛ
ankyerɛ	a n kyerɛ
anna	a n <n>a
anni	a n <n>i
annya	a n <n>ya
ano	ano
Anokye	Anokye
anom	a nom
anoɔden	anoɔ den
Anɔpa	Anɔpa
ansa	a nsa
ansan	a n san
ansane	a n sane
anum	a num
anwummerɛ	a nwu m <m>erɛ
Anya	A n ya
anyanyam	a n yanyam
anyɛ	a n yɛ
anyi	a n yi
apa	a pa
apaapae	a paa pae
apampam	a pam pam
apansam	a pan sam
apata	a pata
apɛ	a pɛ
Apirapira	A pira pira
apɔ	a pɔ
apolisifoɔ	a polisi foɔ
apoɔdeɛ	apoɔ deɛ
aporɔ	a porɔ
aporɔbɔ	a porɔ bɔ
aprɔ	a prɔ
apue	a pue
ara	ara
asan	a san
asane	a sane
asase	asase
ase	a se
asɛ	a sɛ
asɛdeɛ	asɛ deɛ
asɛe	a sɛe
aseɛ	a seɛ
asɛm	a sɛm
asesa	a sesa
asi	a si
asie	a si e
asiesie	a sie sie
asoa	a soa
asɔ	a sɔ
asomasi	asoma si
asomdwoe	asomdwoe
asomdwoeɛ	asomdwoeɛ
asɔre	a sɔre
asorɔkyee	a sorɔ kye e
asoso	a so so
asuae	a sua e
ataa	ataa
ataadeɛ	ataa deɛ
atadeɛ	ata deɛ
atae	a tae
Ate	A te
atena	a tena
atese	a te se
atete	a te te
atia	a tia
atikyafoɔ	a tikya foɔ
atim	a tim
atiridii	a tiridii
atoa	a toa
ato	a to
atɔ	a tɔ
Atɔeɛ	A tɔ eɛ
atofodeɛ	atofo deɛ
atom	a tom
atomuɔ	a tomu ɔ
atɔn	a tɔn
atonko	a to nko
Atonsu	A to nsu
atotɔ	a to tɔ
atotototo	a toto toto
Atu	A tu
atumi	a tumi
atwa	a twa
atwam	a twam
atwe	a twe
atwitwam	a twitwam
aware	a ware
awerɛhosɛm	awerɛho sɛm
awia	awia
awie	a wie
awɔ	a wɔ
Awofoɔ	Awo foɔ
awoɔ	a woɔ
awu	a wu
Awudifoɔ	Awudi foɔ
Awuni	Awu ni
awura	a wura
ayamtuo	a yam tuo
ayɛ	a yɛ
ayera	a yera
Ayere	A yere
ayereso	a yere so
ayi	a yi
ayie	a yie
ayifoɔ	ayi foɔ
Baa	Ba a
baabi	baabi
Baako	Baako
ba	ba
badwakuo	badwa kuo
badwani	badwa ni
bae	ba e
baeɛ	ba eɛ
bammɔ	ba m <m>ɔ
bankye	bankye
Bawkufoɔ	Bawku foɔ
bɛba	bɛ ba
Bɛ	Bɛ
bɛbisa	bɛ bisa
bɛboa	bɛ boa
bɛbɔ	bɛ bɔ
bɛbrɛ	bɛ brɛ
bebree	bebree
bɛbu	bɛ bu
bɛbuebue	bɛ bue bue
bɛdi	bɛ di
bɛduru	bɛ duru
bɛɛ	bɛ ɛ
bɛfa	bɛ fa
bɛgyaa	bɛ gya a
bɛgye	bɛ gye
bɛgyina	bɛ gyina
bɛhunu	bɛ hu nu
bɛhwɛɛ	bɛ hwɛ ɛ
bɛhwɛeɛ	bɛ hwɛ eɛ
bɛhyɛɛ	bɛ hyɛ ɛ
bɛka	bɛ ka
bɛkan	bɛ kan
bɛkɔ	bɛ kɔ
Bekwaifoɔ	Bekwai foɔ
bɛkyerɛkyerɛɛ	bɛ kyerɛ kyerɛ ɛ
bɛmene	bɛ me ne
bɛmia	bɛ mia
bɛn	bɛn
bɛnya	bɛ nya
bɛpue	bɛ pue
berɛ	berɛ
bɛsane	bɛ sane
bɛsi	bɛ si
bɛte	bɛ te
bɛto	bɛ to
bɛtɔ	bɛ tɔ
bɛtoo	bɛ too
bɛtoɔ	bɛ toɔ
bɛtuatua	bɛ tua tua
bɛtumi	bɛ tumi
bɛweene	bɛ weene
bewia	be wia
bɛwu	bɛ wu
bɛwuraa	bɛ wura a
Bɛyɛ	Bɛ yɛ
bɛyɛɛ	bɛ yɛ ɛ
bia	bia
biara	biara
bi	bi
bibiara	bi biara
bie	bie
bini	bi ni
binomakɔdi	bi nom a kɔ di
binom	bi nom
bio	bio
biom	bio m
biribiara	biri biara
biribi	biri bi
bisaa	bisa a
bisa	bisa
boa	boa
bo	bo
bɔ	bɔ
bɔbɔɔbɔ	bɔbɔɔbɔ
bodweabodwea	bodwea bodwea
bɔkɔɔ	bɔkɔ ɔ
bom	bom
bɔn	bɔn
bɔne	bɔne
bɔnefoɔ	bɔne foɔ
Bono	Bo no
bɔɔ	bɔ ɔ
bɔɔla	bɔɔla
bɔɔlasɛm	bɔɔla sɛm
borɔ	borɔ
Borɔfo	Borɔ fo
borɔno	borɔ no
bosom	bosom
bosome	bosome
braa	bra a
bra	bra
brɛ	brɛ
butubutu	butu butu
cedi	cedi
Cedis	Cedis
daabi	daabi
daa	da a
daakye	daakye
dabiara	da biara
Da	Da
dadaada	da daa da
dada	da da
daduani	da duani
dadwene	da dwene
Dan	Dan
dane	dane
dasani	dasa ni
dea	de a
deda	deda
de	de
dɛ	dɛ
deɛbɛn	deɛ bɛn
deɛ	de ɛ
dɛɛ	dɛ ɛ
Deɛn	Deɛn
dɛm	dɛm
den	den
dɛn	dɛn
dene	dene
dɛw	dɛw
di	di
die	die
dii	di i
din	din
do	do
dɔ	dɔ
dodoɔ	dodo ɔ
dɔkonona	dɔkono na
dɔm	dɔm
dɔmpem	dɔm pem
dɔnhwere	dɔn hwere
dua	dua
dumsɔ	dum sɔ
duru	duru
duruu	duru u
dwa	dwa
dwam	dwam
dwennwenee	dwen n wene e
dwonsɔ	dwon sɔ
dwumadie	dwuma die
dwuma	dwuma
dwumedzi	dwume dzi
ɛbaa	ɛ ba a
Ɛbabɛduruu	Ɛ ba bɛ duru u
ɛba	ɛ ba
ɛbɛba	ɛ bɛ ba
ɛbɛboa	ɛ bɛ boa
ɛbɛduru	ɛ bɛ duru
ɛbɛ	ɛ bɛ
Ɛbɛ	Ɛ bɛ
ɛbɛɛyɛ	ɛ bɛ ɛ yɛ
ɛbɛfiri	ɛ bɛ firi
ɛbɛhia	ɛ bɛ hia
ɛbɛhye	ɛ bɛ hye
ɛbɛkɔso	ɛ bɛ kɔ so
ɛbɛkye	ɛ bɛ kye
