token	transliteration	segmentation	root
абсолютно	absolyutno	absolyut n o	absolyut
абстрактного	abstraktnogo	abstrakt n ogo	abstrakt
авиакомпания	aviakompaniya	avia kompani ya	kompani
авиации	aviatsii	avi atsi i	avi
авиационному	aviatsionnomu	avi atsi onn omu	avi
Австрии	Avstrii	Avstri i	Avstri
австрийских	avstriyskih	avstriy sk ih	avstriy
Австрийской	Avstriyskoy	Avstriy sk oy	Avstriy
австрийском	avstriyskom	avstriy sk om	avstriy
автобуса	avtobusa	avto bus a	bus
автобусов	avtobusov	avto bus ov	bus
автовозов	avtovozov	avto voz ov	voz
автомобили	avtomobili	avto mobil i	mobil
автомобилисты	avtomobilisty	avto mobil ist y	mobil
автомобиля	avtomobilya	avto mobil ya	mobil
автор	avtor	avtor	avtor
агентство	agentstvo	agent stv o	agent
Агентство	Agentstvo	Agent stv o	Agent
Азовском	Azovskom	Azov sk om	Azov
академии	akademii	akademi i	akademi
академик	akademik	akadem ik	akadem
аккумулировав	akkumulirovav	akkumul ir ova v	akkumul
активнее	aktivneye	aktiv n eye	aktiv
активности	aktivnosti	aktiv n ost i	aktiv
актуальность	aktual'nost'	aktual'n ost'	aktual'n
алтайские	altayskiye	altay sk iye	altay
Алтайском	Altayskom	Altay sk om	Altay
альпийского	al'piyskogo	al'p iy sk ogo	al'p
американские	amerikanskiye	amerik an sk iye	amerik
американских	amerikanskih	amerik an sk ih	amerik
амплитуды	amplitudy	amplitud y	amplitud
аналогом	analogom	analog om	analog
Анкаре	Ankare	Ankar e	Ankar
аномальные	anomal'nyye	anomal' n yye	anomal
антибиотикам	antibiotikam	anti bio t ik am	bio
атаках	atakah	atak ah	atak
атлантический	atlanticheskiy	atlanti<ch> esk iy	atlanti<ch>
аэропорт	aeroport	aer o port	aer
байкеров	baykerov	bay k er ov	port
балов	balov	bal ov	bay
Бам	Bam	Bam	bal
банка	banka	bank a	bank
баррельные	barrel'nyye	barrel' n yye	barrel
бассейн	basseyn	basseyn	basseyn
бассейна	basseyna	basseyn a	basseyn
бассейнах	basseynah	basseyn ah	basseyn
бассейне	basseyne	basseyn e	basseyn
башен	bashen	bashen	bashen
Башкирии	Bashkirii	Bashkir i i	Bashkir
бежали	bezhali	be<zh> a l i	be<zh>
беженец	bezhenets	bezh en ets	bezh
Беженцы	Bezhentsy	Bezh en ts y	Bezh
безопасном	bezopasnom	bez opas n om	opas
безостановочное	bezostanovochnoye	bez ostanov och n oye	ostanov
Белграде	Belgrade	Belgrad e	Belgrad
берега	berega	bereg a	bereg
берегов	beregov	bereg ov	bereg
береговой	beregovoy	bereg ov oy	bereg
Берлине	Berline	Berlin e	Berlin
бесплатная	besplatnaya	bes plat n aya	plat
Беспричинные	Besprichinnyye	Bes prichin n yye	prichin
ближайших	blizhayshih	bli<zh> aysh ih	bli<zh>
близкой	blizkoy	blizk oy	blizk
блокирующая	blokiruyuschaya	blok ir u yusch aya	blok
болевшие	bolevshiye	bol evsh iye	bol
более	boleye	bol eye	bol
болеет	boleyet	bol e yet	bol
болезни	bolezni	bolezn i	bolezn
болезнью	bolezn'yu	bolezn' yu	bolezn'
больнице	bol'nitse	bol' nits e	bol'
больницы	bol'nitsy	bol' nits y	bol'
больничных	bol'nichnyh	bol' ni<ch> n yh	bol'
больными	bol'nymi	bol' n ymi	bol'
Большая	Bol'shaya	Bol'sh aya	Bol'sh
больше	bol'she	bol'sh e	bol'sh
большее	bol'sheye	bol'sh eye	bol'sh
большим	bol'shim	bol'sh im	bol'sh
большинстве	bol'shinstve	bol'sh in stv e	bol'sh
большой	bol'shoy	bol'sh oy	bol'sh
бомбы	bomby	bomb y	bomb
боролись	borolis'	bor o l i s'	bor
бороться	borot'sya	bor o t' sya	bor
боялись	boyalis'	bo ya l i s'	bo
бросился	brosilsya	bros i l sya	bros
брюшной	bryushnoy	bryu<sh> n oy	bryu<sh>
будто	budto	budto	budto
буйством	buystvom	buy stv om	buy
бушевавших	bushevavshih	bush eva vsh ih	bush
бывает	byvayet	by va yet	by
бывшей	byvshey	by vsh ey	by
была	byla	by l a	by
было	bylo	by l o	by
быстрый	bystryy	bystr yy	bystr
быть	byt'	by t'	by
важна	vazhna	vazhn a	vazhn
вакцин	vaktsin	vaktsin	vaktsin
Вакцина	Vaktsina	Vaktsin a	Vaktsin
вакцинацию	vaktsinatsiyu	vaktsin atsi yu	vaktsin
вакцинация	vaktsinatsiya	vaktsin atsi ya	vaktsin
ванных	vannyh	van n yh	van
вблизи	vblizi	v bliz i	bliz
введения	vvedeniya	v ved en iya	ved
ввезенные	vvezennyye	v vez enn yye	vez
вдоль	vdol'	vdol'	vdol'
ведения	vedeniya	ved eni ya	ved
ведомстве	vedomstve	vedomstv e	vedomstv
ведут	vedut	ved ut	ved
ведущие	veduschiye	ved usch iye	ved
велик	velik	velik	velik
велика	velika	velik a	velik
велики	veliki	velik i	Velik
Великолукские	Velikolukskiye	Velik o luk sk iye	luk
величин	velichin	veli<ch> in	veli<ch>
величине	velichine	veli<ch> in e	veli<ch>
верили	verili	ver i l i	ver
вероятно	veroyatno	veroyat n o	veroyat
вероятность	veroyatnost'	veroyat n ost'	veroyat
вертолета	vertoleta	vert o let a	vert
вертолеты	vertolety	vert o let y	vert
верхний	verhniy	verh n iy	verh
верхних	verhnih	verh n ih	verh
вершине	vershine	ver<sh> in e	ver<sh>
Веры	Very	Ver y	Ver
веселое	veseloye	vesel oye	vesel
Весной	Vesnoy	Vesn oy	Vesn
весьма	ves'ma	ves'ma	ves'
ветеранов	veteranov	veteran ov	veteran
ветром	vetrom	vetr om	vetr
вещам	vescham	vesch am	vesch
вещами	veschami	vesch ami	vesch
веяний	veyaniy	veyan iy	veyan
взорвал	vzorval	vzo rv a l	rv
взрослые	vzroslyye	vzrosl yye	vzrosl
Взрослым	Vzroslym	Vzrosl ym	Vzrosl
взрыва	vzryva	vz ryv a	ryv
взрывного	vzryvnogo	vz ryv n ogo	ryv
взрывов	vzryvov	vz ryv ov	ryv
взял	vzyal	vzya l	vzya
взятия	vzyatiya	vzya ti ya	vzya
вид	vid	vid	vid
видел	videl	vid e l	vid
видели	videli	vid e l i	vid
видимом	vidimom	vid im om	vid
видно	vidno	vid n o	vid
видов	vidov	vid ov	vid
виду	vidu	vid u	vid
виновника	vinovnika	vin ov nik a	vin
вирусной	virusnoy	virus n oy	virus
вирусы	virusy	virus y	virus
включает	vklyuchayet	v klyuch a yet	klyuch
влагой	vlagoy	vlag oy	vlag
властей	vlastey	vlast ey	vlast
Власти	Vlasti	Vlast i	Vlast
влияния	vliyaniya	vliya ni ya	vliya
Вначале	Vnachale	V na cha l e	cha
вниз	vniz	vniz	vnim
внимание	vnimaniye	vnim a ni ye	vnim
внимания	vnimaniya	vnim a ni ya	vod
воде	vode	vod e	vod
водителями	voditelyami	vod i tel yami	vod
водоснабжением	vodosnabzheniyem	vod o snabzh eni yem	snabzh
водохранилищ	vodohranilisch	vod o hran i l isch	vod hran
водяным	vodyanym	vod yan ym	vod
военкоматах	voyenkomatah	voyen kom at ah	voyen kom
военное	voyennoye	voyen n oye	voyen
