token	transliteration	segmentation
அகதி	ahadhi	ahadhi
அகற்றும்	ahatrum	ahatrum
அக்னி	akni	akni
அங்க	anga	anga
அங்கிருந்து	angirundhu	ang irundhu
அங்கீகரிக்கப்பட்ட	angiiharikkappatta	ang iiharikka ppatta
அங்கே	angee	angee
அசந்த	asandha	asan dha
அசந்து	asandhu	asan dhu
அசர்ந்து	asarndhu	asarn dhu
அச்சத்தில்	achchaththil	achch athth il
அச்சம்	achcham	achch am
அச்சுறுத்தல்	achchuruththal	achch uru ththal
அஞ்சப்படுகிறது	anjappaduhiradhu	anja ppadu hir adhu
அடி	adi	adi
அடித்த	adiththa	adi ththa
அடித்து	adiththu	adi ththu
அடித்துச்	adiththuch	adi ththu ch
அடித்தும்	adiththum	adi ththu m
அடிப்படை	adippadai	adi ppad ai
அடிப்படையாகக்	adippadaiyaahak	adi ppadai yaahak
அடியில்	adiyil	adi yil
அடுத்தடுத்து	aduththaduththu	aduthth aduththu
அடுத்து	aduththu	aduththu
அடைந்த	adaindha	adai ndha
அடைந்து	adaindhu	adai ndhu
அடையாளம்	adaiyaalam	adai yaalam
அடையும்	adaiyum	adai yum
அணிதல்	anidhal	ani dhal
அணு	anu	anu
அணுக்கழிவுகள்	anukkazivuhal	anu kkazivu hal
அணை	anai	anai
அணைகள்	anaihal	anai hal
அண்டிய	antiya	anti ya
அண்டை	antai	antai
அண்ணா	annaa	annaa
அண்மையில்	anmaiyil	anmai yil
அதற்கு	adharku	adha rku
அதன்	adhan	adhan
அதாவது	adhaavadhu	adha ava dhu
அதி	adhi	adhi
அதிக	adhiha	adhi ha
அதிகமழையையும்	adhihamazaiyaiyum	adhi ham azai yai yum
அதிகமாக	adhihamaaha	adhi ham aaha
அதிகமான	adhihamaana	adhi ham aana
அதிகமானோர்	adhihamaanoor	adhi ham aanoor
அதிகம்	adhiham	adhi ham
அதிகரிக்கிறது	adhiharikkiradhu	adhi hari kkir adhu
அதிகரிக்கும்	adhiharikkum	adhi hari kkum
அதிகரித்துள்ளது	adhihariththulladhu	adhi hari<thth> ull adhu
அதிகரிப்பு	adhiharippu	adhi hari ppu
அதிகாரத்தை	adhihaaraththai	adhi haara thth ai
அதிகாரி	adhihaari	adhi haari
அதிகாரிகளுக்கு	adhihaarihalukku	adhi haari hal ukku
அதிகாரிகள்	adhihaarihal	adhi haari hal
அதிகாலை	adhihaalai	adhi haalai
அதிபர்	adhibar	adhi bar
அதிமுக	adhimuha	adhi muha
அதிமுகவினர்	adhimuhavinar	adhi muha vinar
அதிர்ச்சி	adhirchchi	adhi rchchi
அதிர்வு	adhirvu	adhi rvu
அதிர்வுகள்	adhirvuhal	adhi rvu hal
அதில்	adhil	adhil
அது	adhu	adhu
அதுமட்டுமில்லாமல்	adhumattumillaamal	adhu mattum illaa mal
அதே	adhee	adhee
அதேபோல	adheeboola	adhee boola
அதேபோல்	adheebool	adhee bool
அதேவேளை	adheeveelai	adhee veelai
அதை	adhai	adhai
அத்துடன்	aththudan	aththu dan
அத்துமீறி	aththumiiri	aththu miiri
அந்த	andha	andha
அந்தந்த	andhandha	andha ndha
அந்நாட்டின்	annaattin	ann aatt in
அந்நாட்டு	annaattu	ann aattu
அபாய	abaaya	abaaya
அபாயமும்	abaayamum	abaaya mum
அப்துல்	apthul	ap thul
அப்ப	appa	appa
அப்பகுதி	appahudhi	app ahudhi
அப்பால்	appaal	app aal
அப்புறப்படுத்துமாறும்	appurappaduththumaarum	app urappad uththu maarum
அப்புறம்	appuram	app uram
அமர்ந்து	amarndhu	amar ndhu
அமெரிக்காவில்	amerikkaavil	amer ikkaa vil
அமெரிக்காவின்	amerikkaavin	amer ikkaa vin
அமெரிக்காவும்	amerikkaavum	amer ikkaa vum
அமைக்க	amaikka	amai kka
அமைக்கப்பட்டிருக்கும்	amaikkappattirukkum	amai kka ppatti rukk um
அமைச்சகம்	amaichchaham	amai chcha ham
அமைச்சரவை	amaichcharavai	amai chchar avai
