token	segmentation	root
ada	ada	ada
Adai	A dai	dai
adha	adha	adha
adhuhuri	adhuhuri	adhuhuri
afisa	afisa	afisa
afunguka	a fungu k a	fungu
agizo	agiz o	agiz 
Aidha	Aidha	Aidha
ajira	ajira	ajira
ajisalimisha	a ji salim ish a	salim
AKABIDHI	A KABIDHI	KABIDHI
akatisha	a ka tish a	tish
akaunti	a kaunti	kaunti
akieleza	a ki elez a	elez
Akifafanua	A ki fafanu a	fafanu
akifanya	a ki fany a	fany
akifurahia	a ki furahi a	furahi
akihudhuria	a ki hudhuri a	hudhuri
akikabidhi	a ki kabidhi	kabidhi
akiomba	a ki omb a	omb
Akiongea	A ki onge a	onge
akionyesha	a ki o ny esh a	ny
akipongeza	a ki pong ez a	pong
Akiri	A kiri	kiri
akisema	a ki sem a	sem
akisherehekea	a ki shereh ek e a	shereh
akisimulia	a ki simu li a	simu
akisubiri	a ki subiri	subiri
akitoa	a ki to a	to
akiwemo	a ki wemo	wemo
Akizungumzia	A ki zungum z i a	zungum
akthari	akthari	akthari
Alhamisi	Alhamisi	Alhamisi
aliahidi	a li ahidi	ahidi
aliambia	a li amb i a	amb
alieleza	a li elez a	elez
Alifafanua	A li fafanu a	fafanu
aliitaka	a li i tak a	tak
alikutwa	a li kut w a	kut
Alikuwa	A li kuw a	kuw
aliliambia	a li li amb i a	amb
alilitaarifu	a li li taarifu	taarifu
alinukuu	a li nu kuu	kuu
alioandika	a li o andik a	andik
aliona	a li on a	on
alipaswa	a li pas w a	pas
alipokuwa	a li po kuw a	kuw
alipoleta	a li po let a	let
alipoteza	a li pot ez a	pot
alisisitiza	a li sisitiz a	sisitiz
alisombwa	a li somb w a	somb
alitoa	a li to a	to
Alivitaja	A li vi taj a	taj
alivitaka	a li vi tak a	tak
alivyo	a li vyo	vyo
alivyotaarifu	a li vyo taarifu	taarifu
Aliwaomba	A li wa omb a	omb
aliwasifu	a li wa sif u	sif
Aliwekwa	A li wek w a	wek
Aliweza	A li wez a	wez
aliyeambukizwa	a li ye ambu k iz w a	ambu
aliyekufa	a li ye kuf a	kuf
aliyekuwa	a li ye kuw a	kuw
aliyemtishia	a li ye m tish i a	tish
aliyemtolea	a li ye m tol e a	tol
Aliyeolewa	A li ye o lew a	lew
aliyeweza	a li ye wez a	wez
aliyo	a li yo	li
aliyopewa	a li yo p<e> w a	p<e>
aliyoyapata	a li yo ya pat a	pat
ama	ama	ama
ambako	amba ko	amba
ambalo	amba lo	amba
ambavyo	amba vyo	amba
ambaye	amba ye	amba
ameahidi	a me ahidi	ahidi
ameenda	a me end a	end
amegunduliwa	a me gundu liw a	gundu
ameishi	a me ishi	ishi
amejiuzulu	a me ji uzulu	uzulu
amekutana	a me kut an a	kut
amekuwa	a me kuw a	kuw
amekwama	a me kwam a	kwam
amelaani	a me laani	laani
ameliambia	a me li amb i a	amb
amembeba	a me m beb a	beb
amemzuia	a me m zui a	zui
ameomba	a me omb a	omb
ameondoa	a me ondo a	ondo
ameonesha	a me on esh a	on
Ameongeza	A me ongez a	ongez
ameonya	a me ony a	ony
Amesema	A me sem a	sem
amesikika	a me sik ik a	sik
amesikitishwa	a me sikit ish w a	sikit
amesimama	a me simam a	simam
Ametangaza	A me tangaz a	tangaz
ametoa	a me to a	to
Amewahakikishia	A me wa hakik ish i a	hakik
amewahi	a me wahi	wahi
amezuia	a me zui a	zui
amezuru	a me zuru	zuru
amri	amri	amri
ana	a na	na
Anaeleza	A na elez a	elez
anakuja	a na kuj a	kuj
anaomba	a na omb a	omb
anaongoza	a na ongoz a	ongoz
anapoendesha	a na po end esh a	end
