token	segmentation	root
aabot	a abot	abot
aarestuhin	a arest<u> hin	arest<u>
abnormalidad	ab normal idad	normal 
abo	abo	abo
abot	abot	abot
adbokasiya	adbokasiya	adbokasiya
Adik	Adik	Adik
administrasyong	administra syon g	administra 
Agad	Agad	Agad
agaran	aga<r> an	aga<r> 
ahensiya	ahensiya	ahensiya
akala	akala	akala
akda	akda	akda
aking	akin g	akin 
ako	ako	ako
akong	ako ng	ako 
aktibista	aktib ista	aktib
aktibong	aktib ong	aktib 
alaala	alaala	alaala
alam	alam	alam
alamin	alam in	alam 
alarma	alarma	alarma
alas	alas	alas
alerto	alerto	alerto
alisto	a listo	listo
ALITERASYON	A LITERA SYON	LITERA 
alon	alon	alon
Amerikanong	Amerika no ng	Amerika 
amihan	amihan	amihan
amin	amin	amin
amoy	amoy	amoy
anak	anak	anak
anay	anay	anay
Ang	Ang	Ang
ani	ani	ani
anibersaryo	anibersaryo	anibersaryo
Animnapung	Anim na pu ng	Anim 
Aniya	A niya	A
ano	ano	ano
Año	Año	Año
anomalya	anomalya	anomalya
antisipasyon	antisipa syon	antisipa 
anu-ano	anu - ano	anu 
anumang	an<u> man g	an<u> 
anya	a nya	a
anyos	anyos	anyos
APAT	APAT	APAT
apatnapung	apat na pu ng	apat 
apektado	apekta do	apekta
apektadong	apekta do ng	apekta 
apektuhan	apekt<u> han	apekt<u>
apoy	apoy	apoy
araw	araw	araw
ari	ari	ari
ari-arian	ari - ari an	ari 
Arnel	Arnel	Arnel
ASONANS	ASONANS	ASONANS
at	at	at
atin	atin	atin
ating	atin g	atin 
Australian	Australia n	Australia 
autoridad	autoridad	autoridad
Awtonomo	Awtonomo	Awtonomo
awtoridad	awtoridad	awtoridad
ay	ay	ay
ayaw	ayaw	ayaw
Ayoko	Ay<o> ko	Ay<o>
ayon	ayon	ayon
ba	ba	ba
baba	baba	baba
bababa	ba baba	baba
babae	babae	babae
babaeng	babae ng	babae 
babala	babala	babala
baboy	baboy	baboy
Bagama't	Bagama 't	Bagama 
bagaman	bagaman	bagaman
Bagamat	Bagama <t>	Bagama 
bagamat	bagama t	bagama 
bagay	bagay	bagay
bago	bago	bago
bagong	bago ng	bago 
bagyo	bagyo	bagyo
BAGYONG	BAGYO NG	BAGYO
baha	baha	baha
Bahagi	Bahagi	Bahagi
bahagyang	bahagya ng	bahagya 
bahain	baha in	baha 
bahay	bahay	bahay
baka	baka	baka
Bakit	Bakit	Bakit
bala	bala	bala
balakid	balakid	balakid
Balete	Balete	Balete
balita	balita	balita
balota	balota	balota
banal	banal	banal
Banda	Banda	Banda
Bandang	Banda ng	Banda 
banggitin	banggit in	banggit
bangin	bangin	bangin
bangkay	bangkay	bangkay
Bangon	Bangon	Bangon
banig	banig	banig
bansa	bansa	bansa
bansang	bansa ng	bansa 
bantayan	bantay an	bantay
banyaga	banyaga	banyaga
barangay	barangay	barangay
baril	baril	baril
basa	basa	basa
basang	basa ng	basa 
basbas	basbas	basbas
Base	Base	Base
basta	basta	basta
basta-bastang	basta - basta ng	basta
basurahan	basura han	basura
basyong	basyo ng	basyo 
bata	bata	bata
batang	bata ng	bata 
Batangueno	Batanguen o	Batanguen 
batay	batay	batay
batok	batok	batok
bawat	bawat	bawat
bayan	bayan	bayan
bayang	bayan g	bayan 
baybayin	baybay in	baybay 
baybaying-dagat	baybay in g - dagat	baybay
bayuhin	bay<u> hin	bay<u> 
baywang	baywang	baywang
beh	beh	beh
beses	beses	beses
Beth	Beth	Beth
bibigay	bi bigay	bigay
bida	bida	bida
bigas	bigas	bigas
bigo	bigo	bigo
bigyang-pansin	bigyan g - pansin	bigyan pansin
bihag	bihag	bihag
biktima	biktima	biktima
biktimang	biktima ng	biktima 
bilang	bilang	bilang
Bilibid	Bilibid	Bilibid
bilis	bilis	bilis
bilyong	bilyon g	bilyon 
binabahang	b in a baha ng	baha 
Binabantayan	B in a bantay an	bantay
binabayaran	b in a baya<r> an	baya<r>
Binaha	B in aha	B aha
binahang	b in aha ng	b aha 
Binalaan	B in alaan	B alaan
Binasura	B in asura	B asura
binawi	b in awi	b awi
binawian	b in awi an	b awi
binayaran	b in aya<r> an	b aya<r>
binili	b in ili	b ili
bintana	bintana	bintana
binti	binti	binti
binubuo	b in u buo	buo
binugahan	b in uga han	b uga
Binuksang	B in uksan g	B uksan 
binuo	b in uo	b uo
bisa	bisa	bisa
bisinidad	bisinidad	bisinidad
bisitahin	bisita hin	bisita 
biskwet	biskwet	biskwet
Bitong	Bitong	Bitong
Biyahe	Biyahe	Biyahe
Biyernes	Biyernes	Biyernes
boboto	bo boto	boto
bohol	bohol	bohol
bomba	bomba	bomba
Bombo	Bombo	Bombo
Bong	Bong	Bong
Buayan	Buayan	Buayan
bubong	bubong	bubong
bugok	bugok	bugok
bugso	bugso	bugso
buhawi	buhawi	buhawi
buhay	buhay	buhay
buhok	buhok	buhok
buhos	buhos	buhos
Bukas	Bukas	Bukas
Bukod	Bukod	Bukod
bulkan	bulkan	bulkan
bulnerabilidad	bulnerabil idad	bulnerabil 
bulnerable	bulnerable	bulnerable
bumagal	b um agal	b agal
Bumagsak	B um agsak	B agsak
bumalik	b um alik	b alik
bumbero	bumbero	bumbero
bumihag	b um ihag	b ihag
bumisitang	b um isita ng	b isita 
bumoto	b um oto	b oto
Bumulusok	B um ulusok	B ulusok
bundok	bundok	bundok
bunsod	bunsod	bunsod
buntis	buntis	buntis
buntot	buntot	buntot
buong	buo ng	buo 
bus	bus	bus
buwan	buwan	buwan
camatchili	camatchili	camatchili
Chino	Chino	Chino
cnasabihan	c na sabi han	sabi
craan	cra an	cra
Cruz	Cruz	Cruz
cya	cya	cya
daambakal	daa<m> bakal	daa<m> bakal
daan	daan	daan
daan-daang	daan - daan g	daan
daanan	daan an	daan 
dadalhin	da dalhin	dalhin
dagat	dagat	dagat
dagdag	dagdag	dagdag
dahil	dahil	dahil
dahilan	dahil an	dahil 
daigdig	daigdig	daigdig
dakong	dako ng	dako 
dala	dala	dala
dalawa	dalawa	dalawa
dalawang	dalawa ng	dalawa 
dalhin	dal hin	dal 
dali	dali	dali
daloy	daloy	daloy
dami	dami	dami
damit	damit	damit
danyos	danyos	danyos
Dapat	Dapat	Dapat
darating	da <r>ating	<r>ating
Dasalin	Dasal in	Dasal 
dating	dati ng	dati 
datos	datos	datos
daw	daw	daw
dayami	dayami	dayami
dayuhan	day<u>  han	day<u> 
del	del	del
delikado	delikado	delikado
delubyo	delubyo	delubyo
Dentista	Dentist a	Dentist 
depende	depende	depende
desisyon	desisyon	desisyon
dhil	dhil	dhil
dhilan	dhil an	dhil 
di	di	di
di-kukulangin	di - ku kulang in	kulang
dibisyon	dibisyon	dibisyon
dikit-dikit	dikit - dikit	dikit
Dilasag	Dilasag	Dilasag
din	din	din
Dinagat	D in agat	D agat
dinala	d in ala	d ala
dinarayo	d in a <r>ayo	d <r>ayo
ding	di ng	di 
dinulot	d in ulot	d ulot
direksyon	direk syon	direk 
direksyong	direk syon g	direk 
dis	dis	dis
distrito	distrito	distrito
Disyembre	Disyembre	Disyembre
dito	dito	dito
diyan	diyan	diyan
Diyos	Diyos	Diyos
dlyar	dlyar	dlyar
doktor	doktor	doktor
doktora	doktor a	doktor 
doon	doon	doon
dormitoryo	dormitoryo	dormitoryo
Dos	Dos	Dos
dosenang	dose na ng	dose 
dpat	dpat	dpat
dugo	dugo	dugo
dulot	dulot	dulot
dumaan	d um aan	d aan
Dumagundong	D um agundong	D agundong
dumaluhong	d um aluhong	d aluhong
dumami	d um ami	d ami
dumating	d um ating	d ating
dumi	dumi	dumi
dumulog	d um ulog	d ulog
durugin	dur<u>g in	dur<u>g 
dyip	dyip	dyip
ebakwasyon	ebakwa syon	ebakwa 
edad	edad	edad
